date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:34:50	4677/4677	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Feb%202020%2004:26:42%20GMT	https://www.egtdubai.com/robots.txt		(from )
13:34:51	89897/89897	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20Jul%202020%2009:32:46%20GMT	https://www.egtdubai.com/	F:/zzzzzgt/EGT/www.egtdubai.com/index.html	(from )
13:34:51	9036/9036	---M--	200	added ('OK')	text/css	date:Wed,%2008%20May%202019%2011:22:02%20GMT	https://www.egtdubai.com/style.css	F:/zzzzzgt/EGT/www.egtdubai.com/style.css	(from https://www.egtdubai.com/)
13:34:52	1219/1219	---M--	200	added ('OK')	application/javascript	date:Sun,%2011%20Nov%202018%2015:26:08%20GMT	https://www.egtdubai.com/mouseover.js	F:/zzzzzgt/EGT/www.egtdubai.com/mouseover.js	(from https://www.egtdubai.com/)
13:34:53	11816/11816	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Feb%202020%2004:26:42%20GMT	https://www.egtdubai.com/lib/jquery-1.4.2.min.js	F:/zzzzzgt/EGT/www.egtdubai.com/lib/jquery-1.4.2.min.js	(from https://www.egtdubai.com/)
13:34:53	11816/11816	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Feb%202020%2004:26:42%20GMT	https://www.egtdubai.com/lib/jquery.jcarousel.min.js	F:/zzzzzgt/EGT/www.egtdubai.com/lib/jquery.jcarousel.min.js	(from https://www.egtdubai.com/)
13:34:54	11816/11816	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Feb%202020%2004:26:42%20GMT	https://www.egtdubai.com/skins/tango/skin.css	F:/zzzzzgt/EGT/www.egtdubai.com/skins/tango/skin.css	(from https://www.egtdubai.com/)
13:34:54	15104/15104	---M--	200	added ('OK')	application/javascript	date:Sun,%2011%20Nov%202018%2015:21:43%20GMT	https://www.egtdubai.com/gen_validatorv3.js	F:/zzzzzgt/EGT/www.egtdubai.com/gen_validatorv3.js	(from https://www.egtdubai.com/)
13:34:55	11816/11816	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Feb%202020%2004:26:42%20GMT	https://www.egtdubai.com/ga.js	F:/zzzzzgt/EGT/www.egtdubai.com/ga.js	(from https://www.egtdubai.com/)
13:34:55	794/794	---M--	200	added ('OK')	text/css	date:Sun,%2011%20Nov%202018%2015:09:50%20GMT	https://www.egtdubai.com/css/reset.css	F:/zzzzzgt/EGT/www.egtdubai.com/css/reset.css	(from https://www.egtdubai.com/)
13:34:56	2672/2672	---M--	200	added ('OK')	text/css	date:Sun,%2011%20Nov%202018%2015:09:51%20GMT	https://www.egtdubai.com/css/style.css	F:/zzzzzgt/EGT/www.egtdubai.com/css/style.css	(from https://www.egtdubai.com/)
13:34:56	4815/4815	---M--	200	added ('OK')	text/css	date:Sun,%2011%20Nov%202018%2015:09:48%20GMT	https://www.egtdubai.com/css/grid.css	F:/zzzzzgt/EGT/www.egtdubai.com/css/grid.css	(from https://www.egtdubai.com/)
13:34:57	2847/2847	---M--	200	added ('OK')	text/css	date:Sun,%2011%20Nov%202018%2015:09:53%20GMT	https://www.egtdubai.com/css/superfish-menu.css	F:/zzzzzgt/EGT/www.egtdubai.com/css/superfish-menu.css	(from https://www.egtdubai.com/)
13:34:58	1348/1348	---M--	200	added ('OK')	application/javascript	date:Sun,%2011%20Nov%202018%2015:13:49%20GMT	https://www.egtdubai.com/js/html5.js	F:/zzzzzgt/EGT/www.egtdubai.com/js/html5.js	(from https://www.egtdubai.com/)
13:34:58	90518/90518	---M--	200	added ('OK')	application/javascript	date:Sun,%2011%20Nov%202018%2015:13:55%20GMT	https://www.egtdubai.com/js/jquery-1.6.min.js	F:/zzzzzgt/EGT/www.egtdubai.com/js/jquery-1.6.min.js	(from https://www.egtdubai.com/)
13:34:59	376/376	---M--	200	added ('OK')	application/javascript	date:Sun,%2011%20Nov%202018%2015:13:46%20GMT	https://www.egtdubai.com/js/FF-cash.js	F:/zzzzzgt/EGT/www.egtdubai.com/js/FF-cash.js	(from https://www.egtdubai.com/)
13:35:00	3174/3174	---M--	200	added ('OK')	application/javascript	date:Sun,%2011%20Nov%202018%2015:13:47%20GMT	https://www.egtdubai.com/js/hoverIntent.js	F:/zzzzzgt/EGT/www.egtdubai.com/js/hoverIntent.js	(from https://www.egtdubai.com/)
13:35:00	4037/4037	---M--	200	added ('OK')	application/javascript	date:Sun,%2011%20Nov%202018%2015:14:00%20GMT	https://www.egtdubai.com/js/superfish.js	F:/zzzzzgt/EGT/www.egtdubai.com/js/superfish.js	(from https://www.egtdubai.com/)
13:35:00	18258/18258	---M--	200	added ('OK')	application/javascript	date:Sun,%2011%20Nov%202018%2015:13:38%20GMT	https://www.egtdubai.com/js/cufon-yui.js	F:/zzzzzgt/EGT/www.egtdubai.com/js/cufon-yui.js	(from https://www.egtdubai.com/)
13:35:01	8097/8097	---M--	200	added ('OK')	application/javascript	date:Sun,%2011%20Nov%202018%2015:13:58%20GMT	https://www.egtdubai.com/js/jquery.easing.1.3.js	F:/zzzzzgt/EGT/www.egtdubai.com/js/jquery.easing.1.3.js	(from https://www.egtdubai.com/)
13:35:01	8314/8314	---M--	200	added ('OK')	application/javascript	date:Sun,%2011%20Nov%202018%2015:14:02%20GMT	https://www.egtdubai.com/js/tms-0.3.js	F:/zzzzzgt/EGT/www.egtdubai.com/js/tms-0.3.js	(from https://www.egtdubai.com/)
13:35:01	18648/18648	---M--	200	added ('OK')	application/javascript	date:Sun,%2011%20Nov%202018%2015:14:05%20GMT	https://www.egtdubai.com/js/tms_presets.js	F:/zzzzzgt/EGT/www.egtdubai.com/js/tms_presets.js	(from https://www.egtdubai.com/)
13:35:02	26503/26503	---M--	200	added ('OK')	image/jpeg	date:Sun,%2011%20Nov%202018%2015:33:23%20GMT	https://www.egtdubai.com/topbg.jpg	F:/zzzzzgt/EGT/www.egtdubai.com/topbg.jpg	(from https://www.egtdubai.com/)
13:35:02	269/269	---M--	200	added ('OK')	image/gif	date:Sun,%2011%20Nov%202018%2015:19:53%20GMT	https://www.egtdubai.com/egtbrochure.gif	F:/zzzzzgt/EGT/www.egtdubai.com/egtbrochure.gif	(from https://www.egtdubai.com/)
13:35:03	266/266	---M--	200	added ('OK')	image/gif	date:Sun,%2011%20Nov%202018%2015:18:40%20GMT	https://www.egtdubai.com/egt.gif	F:/zzzzzgt/EGT/www.egtdubai.com/egt.gif	(from https://www.egtdubai.com/)
13:35:04	1193907/1193907	---M--	200	added ('OK')	application/pdf	date:Sun,%2011%20Nov%202018%2015:21:14%20GMT	https://www.egtdubai.com/Emmanuel_General_Trading_Brochure.pdf	F:/zzzzzgt/EGT/www.egtdubai.com/Emmanuel_General_Trading_Brochure.pdf	(from https://www.egtdubai.com/)
13:35:05	961/961	---M--	200	added ('OK')	image/jpeg	date:Sun,%2011%20Nov%202018%2015:15:18%20GMT	https://www.egtdubai.com/bgbar1.jpg	F:/zzzzzgt/EGT/www.egtdubai.com/bgbar1.jpg	(from https://www.egtdubai.com/)
13:35:05	89897/89897	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20Jul%202020%2009:33:01%20GMT	https://www.egtdubai.com/index.php	F:/zzzzzgt/EGT/www.egtdubai.com/index-2.html	(from https://www.egtdubai.com/)
13:35:05	32888/32888	---M--	200	added ('OK')	image/jpeg	date:Sun,%2011%20Nov%202018%2015:25:39%20GMT	https://www.egtdubai.com/logo.jpg	F:/zzzzzgt/EGT/www.egtdubai.com/logo.jpg	(from https://www.egtdubai.com/)
13:35:06	7708/7708	---M--	200	added ('OK')	image/jpeg	date:Sun,%2011%20Nov%202018%2015:30:28%20GMT	https://www.egtdubai.com/rightbg.jpg	F:/zzzzzgt/EGT/www.egtdubai.com/rightbg.jpg	(from https://www.egtdubai.com/)
13:35:06	1179/1179	---M--	200	added ('OK')	image/jpeg	date:Sun,%2011%20Nov%202018%2015:25:23%20GMT	https://www.egtdubai.com/link1_.jpg	F:/zzzzzgt/EGT/www.egtdubai.com/link1_.jpg	(from https://www.egtdubai.com/)
13:35:06	325/325	---M--	200	added ('OK')	image/jpeg	date:Sun,%2011%20Nov%202018%2015:25:37%20GMT	https://www.egtdubai.com/linkline.jpg	F:/zzzzzgt/EGT/www.egtdubai.com/linkline.jpg	(from https://www.egtdubai.com/)
13:35:08	81784/81784	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20Jul%202020%2009:33:02%20GMT	https://www.egtdubai.com/aboutus.php	F:/zzzzzgt/EGT/www.egtdubai.com/aboutus.html	(from https://www.egtdubai.com/)
13:35:08	1541/1541	---M--	200	added ('OK')	image/jpeg	date:Sun,%2011%20Nov%202018%2015:25:25%20GMT	https://www.egtdubai.com/link2.jpg	F:/zzzzzgt/EGT/www.egtdubai.com/link2.jpg	(from https://www.egtdubai.com/)
13:35:10	148757/148757	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Jul%202020%2009:33:04%20GMT	https://www.egtdubai.com/products.php	F:/zzzzzgt/EGT/www.egtdubai.com/products.html	(from https://www.egtdubai.com/)
13:35:10	1623/1623	---M--	200	added ('OK')	image/jpeg	date:Sun,%2011%20Nov%202018%2015:25:28%20GMT	https://www.egtdubai.com/link3.jpg	F:/zzzzzgt/EGT/www.egtdubai.com/link3.jpg	(from https://www.egtdubai.com/)
13:35:11	87585/87585	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20Jul%202020%2009:33:06%20GMT	https://www.egtdubai.com/contactus.php	F:/zzzzzgt/EGT/www.egtdubai.com/contactus.html	(from https://www.egtdubai.com/)
13:35:12	1733/1733	---M--	200	added ('OK')	image/jpeg	date:Sun,%2011%20Nov%202018%2015:25:32%20GMT	https://www.egtdubai.com/link4.jpg	F:/zzzzzgt/EGT/www.egtdubai.com/link4.jpg	(from https://www.egtdubai.com/)
13:35:12	26905/26905	---M--	200	added ('OK')	image/jpeg	date:Sun,%2011%20Nov%202018%2015:15:17%20GMT	https://www.egtdubai.com/bg3.jpg	F:/zzzzzgt/EGT/www.egtdubai.com/bg3.jpg	(from https://www.egtdubai.com/)
13:35:13	60523/60523	---M--	200	added ('OK')	image/jpeg	date:Sun,%2011%20Nov%202018%2015:11:17%20GMT	https://www.egtdubai.com/images/hbanner001.jpg	F:/zzzzzgt/EGT/www.egtdubai.com/images/hbanner001.jpg	(from https://www.egtdubai.com/)
13:35:13	59529/59529	---M--	200	added ('OK')	image/jpeg	date:Sun,%2011%20Nov%202018%2015:11:21%20GMT	https://www.egtdubai.com/images/hbanner002.jpg	F:/zzzzzgt/EGT/www.egtdubai.com/images/hbanner002.jpg	(from https://www.egtdubai.com/)
13:35:13	57447/57447	---M--	200	added ('OK')	image/jpeg	date:Sun,%2011%20Nov%202018%2015:11:24%20GMT	https://www.egtdubai.com/images/hbanner003.jpg	F:/zzzzzgt/EGT/www.egtdubai.com/images/hbanner003.jpg	(from https://www.egtdubai.com/)
13:35:14	54869/54869	---M--	200	added ('OK')	image/jpeg	date:Sun,%2011%20Nov%202018%2015:11:28%20GMT	https://www.egtdubai.com/images/hbanner004.jpg	F:/zzzzzgt/EGT/www.egtdubai.com/images/hbanner004.jpg	(from https://www.egtdubai.com/)
13:35:14	60314/60314	---M--	200	added ('OK')	image/jpeg	date:Sun,%2011%20Nov%202018%2015:11:32%20GMT	https://www.egtdubai.com/images/hbanner005.jpg	F:/zzzzzgt/EGT/www.egtdubai.com/images/hbanner005.jpg	(from https://www.egtdubai.com/)
13:35:15	55677/55677	---M--	200	added ('OK')	image/jpeg	date:Sun,%2011%20Nov%202018%2015:11:35%20GMT	https://www.egtdubai.com/images/hbanner006.jpg	F:/zzzzzgt/EGT/www.egtdubai.com/images/hbanner006.jpg	(from https://www.egtdubai.com/)
13:35:15	56176/56176	---M--	200	added ('OK')	image/jpeg	date:Sun,%2011%20Nov%202018%2015:11:39%20GMT	https://www.egtdubai.com/images/hbanner007.jpg	F:/zzzzzgt/EGT/www.egtdubai.com/images/hbanner007.jpg	(from https://www.egtdubai.com/)
13:35:15	1446/1446	---M--	200	added ('OK')	image/png	date:Sun,%2011%20Nov%202018%2015:33:14%20GMT	https://www.egtdubai.com/text1.png	F:/zzzzzgt/EGT/www.egtdubai.com/text1.png	(from https://www.egtdubai.com/)
13:35:16	3208/3208	---M--	200	added ('OK')	image/jpeg	date:Sun,%2011%20Nov%202018%2015:33:17%20GMT	https://www.egtdubai.com/text22.jpg	F:/zzzzzgt/EGT/www.egtdubai.com/text22.jpg	(from https://www.egtdubai.com/)
13:35:16	82/82	---M--	200	added ('OK')	image/gif	date:Sun,%2011%20Nov%202018%2015:25:20%20GMT	https://www.egtdubai.com/line1.gif	F:/zzzzzgt/EGT/www.egtdubai.com/line1.gif	(from https://www.egtdubai.com/)
13:35:16	48323/48323	---M--	200	added ('OK')	image/jpeg	date:Sun,%2011%20Nov%202018%2015:33:20%20GMT	https://www.egtdubai.com/text3.jpg	F:/zzzzzgt/EGT/www.egtdubai.com/text3.jpg	(from https://www.egtdubai.com/)
13:35:17	11627/11627	---M--	200	added ('OK')	image/jpeg	date:Sun,%2011%20Nov%202018%2015:15:09%20GMT	https://www.egtdubai.com/bg1_.jpg	F:/zzzzzgt/EGT/www.egtdubai.com/bg1_.jpg	(from https://www.egtdubai.com/)
13:35:17	8187/8187	---M--	200	added ('OK')	image/jpeg	date:Sun,%2011%20Nov%202018%2015:15:14%20GMT	https://www.egtdubai.com/bg2_.jpg	F:/zzzzzgt/EGT/www.egtdubai.com/bg2_.jpg	(from https://www.egtdubai.com/)
13:35:17	48400/48400	---M--	200	added ('OK')	image/jpeg	date:Sun,%2011%20Nov%202018%2015:25:59%20GMT	https://www.egtdubai.com/middlebg.jpg	F:/zzzzzgt/EGT/www.egtdubai.com/middlebg.jpg	(from https://www.egtdubai.com/)
13:35:19	92688/92688	---M--	200	added ('OK')	image/png	date:Sun,%2011%20Nov%202018%2015:26:03%20GMT	https://www.egtdubai.com/middlebotbg.png	F:/zzzzzgt/EGT/www.egtdubai.com/middlebotbg.png	(from https://www.egtdubai.com/)
13:35:19	834/834	---M--	200	added ('OK')	image/gif	date:Sun,%2011%20Nov%202018%2015:22:20%20GMT	https://www.egtdubai.com/heading1.gif	F:/zzzzzgt/EGT/www.egtdubai.com/heading1.gif	(from https://www.egtdubai.com/)
13:35:20	25732/25732	---M--	200	added ('OK')	image/jpeg	date:Sun,%2011%20Nov%202018%2015:24:02%20GMT	https://www.egtdubai.com/iimg1.jpg	F:/zzzzzgt/EGT/www.egtdubai.com/iimg1.jpg	(from https://www.egtdubai.com/)
13:35:20	177/177	---M--	200	added ('OK')	image/gif	date:Sun,%2011%20Nov%202018%2015:17:45%20GMT	https://www.egtdubai.com/dot.gif	F:/zzzzzgt/EGT/www.egtdubai.com/dot.gif	(from https://www.egtdubai.com/)
13:35:20	203/203	---M--	200	added ('OK')	image/gif	date:Sun,%2011%20Nov%202018%2015:14:55%20GMT	https://www.egtdubai.com/b2.gif	F:/zzzzzgt/EGT/www.egtdubai.com/b2.gif	(from https://www.egtdubai.com/)
13:35:21	798/798	---M--	200	added ('OK')	image/gif	date:Sun,%2011%20Nov%202018%2015:22:18%20GMT	https://www.egtdubai.com/head11.gif	F:/zzzzzgt/EGT/www.egtdubai.com/head11.gif	(from https://www.egtdubai.com/)
13:35:22	12417/12417	---M--	200	added ('OK')	image/jpeg	date:Sun,%2011%20Nov%202018%2015:25:42%20GMT	https://www.egtdubai.com/manbg.jpg	F:/zzzzzgt/EGT/www.egtdubai.com/manbg.jpg	(from https://www.egtdubai.com/)
13:35:22	462/462	---M--	200	added ('OK')	image/gif	date:Sun,%2011%20Nov%202018%2015:24:19%20GMT	https://www.egtdubai.com/iimg3.gif	F:/zzzzzgt/EGT/www.egtdubai.com/iimg3.gif	(from https://www.egtdubai.com/)
13:35:23	634/634	---M--	200	added ('OK')	image/gif	date:Sun,%2011%20Nov%202018%2015:24:21%20GMT	https://www.egtdubai.com/iimg3text.gif	F:/zzzzzgt/EGT/www.egtdubai.com/iimg3text.gif	(from https://www.egtdubai.com/)
13:35:23	390/390	---M--	200	added ('OK')	image/gif	date:Sun,%2011%20Nov%202018%2015:24:22%20GMT	https://www.egtdubai.com/iimg4.gif	F:/zzzzzgt/EGT/www.egtdubai.com/iimg4.gif	(from https://www.egtdubai.com/)
13:35:23	630/630	---M--	200	added ('OK')	image/gif	date:Sun,%2011%20Nov%202018%2015:24:24%20GMT	https://www.egtdubai.com/iimg4text.gif	F:/zzzzzgt/EGT/www.egtdubai.com/iimg4text.gif	(from https://www.egtdubai.com/)
13:35:24	11562/11562	---M--	200	added ('OK')	image/png	date:Sun,%2011%20Nov%202018%2015:21:39%20GMT	https://www.egtdubai.com/formbg.png	F:/zzzzzgt/EGT/www.egtdubai.com/formbg.png	(from https://www.egtdubai.com/)
13:35:24	858/858	---M--	200	added ('OK')	image/png	date:Sun,%2011%20Nov%202018%2015:24:38%20GMT	https://www.egtdubai.com/iimg9.png	F:/zzzzzgt/EGT/www.egtdubai.com/iimg9.png	(from https://www.egtdubai.com/)
13:35:25	41985/41985	---M--	200	added ('OK')	image/png	date:Sun,%2011%20Nov%202018%2015:31:23%20GMT	https://www.egtdubai.com/scrollhead.png	F:/zzzzzgt/EGT/www.egtdubai.com/scrollhead.png	(from https://www.egtdubai.com/)
13:35:26	27001/27001	---M--	200	added ('OK')	image/png	date:Sun,%2011%20Nov%202018%2015:31:18%20GMT	https://www.egtdubai.com/scrollbg.png	F:/zzzzzgt/EGT/www.egtdubai.com/scrollbg.png	(from https://www.egtdubai.com/)
13:35:26	473/473	---M--	200	added ('OK')	image/jpeg	date:Sun,%2011%20Nov%202018%2015:31:25%20GMT	https://www.egtdubai.com/scrollleft.jpg	F:/zzzzzgt/EGT/www.egtdubai.com/scrollleft.jpg	(from https://www.egtdubai.com/)
13:35:26	241/241	---M--	200	added ('OK')	text/css	date:Sun,%2011%20Nov%202018%2015:24:40%20GMT	https://www.egtdubai.com/imageslider.css	F:/zzzzzgt/EGT/www.egtdubai.com/imageslider.css	(from https://www.egtdubai.com/)
13:35:27	4832/4832	---M--	200	added ('OK')	application/javascript	date:Sun,%2011%20Nov%202018%2015:24:42%20GMT	https://www.egtdubai.com/imageslider.js	F:/zzzzzgt/EGT/www.egtdubai.com/imageslider.js	(from https://www.egtdubai.com/)
13:35:27	1110/1110	---M--	200	added ('OK')	application/javascript	date:Sun,%2011%20Nov%202018%2015:24:44%20GMT	https://www.egtdubai.com/imageslidercfg.js	F:/zzzzzgt/EGT/www.egtdubai.com/imageslidercfg.js	(from https://www.egtdubai.com/)
13:35:27	434/434	---M--	200	added ('OK')	image/jpeg	date:Sun,%2011%20Nov%202018%2015:31:27%20GMT	https://www.egtdubai.com/scrollright.jpg	F:/zzzzzgt/EGT/www.egtdubai.com/scrollright.jpg	(from https://www.egtdubai.com/)
13:35:28	2917/2917	---M--	200	added ('OK')	image/jpeg	date:Sun,%2011%20Nov%202018%2015:31:20%20GMT	https://www.egtdubai.com/scrollbottom.jpg	F:/zzzzzgt/EGT/www.egtdubai.com/scrollbottom.jpg	(from https://www.egtdubai.com/)
13:35:29	71/71	---M--	200	added ('OK')	image/gif	date:Sun,%2011%20Nov%202018%2015:22:12%20GMT	https://www.egtdubai.com/hdottedline.gif	F:/zzzzzgt/EGT/www.egtdubai.com/hdottedline.gif	(from https://www.egtdubai.com/)
13:35:29	11816/11816	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Feb%202020%2004:26:42%20GMT	https://www.egtdubai.com/egtdubaialfaflex.pdf	F:/zzzzzgt/EGT/www.egtdubai.com/egtdubaialfaflex.pdf	(from https://www.egtdubai.com/)
13:35:30	14726/14726	---M--	200	added ('OK')	image/png	date:Sun,%2011%20Nov%202018%2015:17:54%20GMT	https://www.egtdubai.com/downloadbutton.png	F:/zzzzzgt/EGT/www.egtdubai.com/downloadbutton.png	(from https://www.egtdubai.com/)
13:35:31	182713/182713	---M--	200	added ('OK')	application/pdf	date:Sun,%2011%20Nov%202018%2015:20:31%20GMT	https://www.egtdubai.com/emmaflex_products.pdf	F:/zzzzzgt/EGT/www.egtdubai.com/emmaflex_products.pdf	(from https://www.egtdubai.com/)
13:35:31	64/64	---M--	200	added ('OK')	image/gif	date:Sun,%2011%20Nov%202018%2015:33:31%20GMT	https://www.egtdubai.com/vdottedline3.gif	F:/zzzzzgt/EGT/www.egtdubai.com/vdottedline3.gif	(from https://www.egtdubai.com/)
13:35:32	136931/136931	---M--	200	added ('OK')	application/pdf	date:Sun,%2011%20Nov%202018%2015:18:39%20GMT	https://www.egtdubai.com/eaton_distributor_letter.pdf	F:/zzzzzgt/EGT/www.egtdubai.com/eaton_distributor_letter.pdf	(from https://www.egtdubai.com/)
13:35:33	133015/133015	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Jul%202020%2009:33:27%20GMT	https://www.egtdubai.com/petrolumhose.php	F:/zzzzzgt/EGT/www.egtdubai.com/petrolumhose.html	(from https://www.egtdubai.com/)
13:35:33	849/849	---M--	200	added ('OK')	image/jpeg	date:Sun,%2011%20Nov%202018%2015:30:05%20GMT	https://www.egtdubai.com/qlogo1.jpg	F:/zzzzzgt/EGT/www.egtdubai.com/qlogo1.jpg	(from https://www.egtdubai.com/)
13:35:34	130637/130637	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20Jul%202020%2009:33:29%20GMT	https://www.egtdubai.com/waterhose.php	F:/zzzzzgt/EGT/www.egtdubai.com/waterhose.html	(from https://www.egtdubai.com/)
13:35:35	85609/85609	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20Jul%202020%2009:33:29%20GMT	https://www.egtdubai.com/steamhose.php	F:/zzzzzgt/EGT/www.egtdubai.com/steamhose.html	(from https://www.egtdubai.com/)
13:35:36	118259/118259	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20Jul%202020%2009:33:30%20GMT	https://www.egtdubai.com/airhose.php	F:/zzzzzgt/EGT/www.egtdubai.com/airhose.html	(from https://www.egtdubai.com/)
13:35:37	106204/106204	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20Jul%202020%2009:33:31%20GMT	https://www.egtdubai.com/materialhose.php	F:/zzzzzgt/EGT/www.egtdubai.com/materialhose.html	(from https://www.egtdubai.com/)
13:35:38	89578/89578	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20Jul%202020%2009:33:33%20GMT	https://www.egtdubai.com/sandblasthose.php	F:/zzzzzgt/EGT/www.egtdubai.com/sandblasthose.html	(from https://www.egtdubai.com/)
13:35:39	88618/88618	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20Jul%202020%2009:33:34%20GMT	https://www.egtdubai.com/chemicalhose.php	F:/zzzzzgt/EGT/www.egtdubai.com/chemicalhose.html	(from https://www.egtdubai.com/)
13:35:40	105328/105328	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20Jul%202020%2009:33:34%20GMT	https://www.egtdubai.com/foodhose.php	F:/zzzzzgt/EGT/www.egtdubai.com/foodhose.html	(from https://www.egtdubai.com/)
13:35:40	87526/87526	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20Jul%202020%2009:33:35%20GMT	https://www.egtdubai.com/mudhose.php	F:/zzzzzgt/EGT/www.egtdubai.com/mudhose.html	(from https://www.egtdubai.com/)
13:35:41	73/73	---M--	200	added ('OK')	image/gif	date:Sun,%2011%20Nov%202018%2015:33:28%20GMT	https://www.egtdubai.com/vdottedline2.gif	F:/zzzzzgt/EGT/www.egtdubai.com/vdottedline2.gif	(from https://www.egtdubai.com/)
13:35:41	86036/86036	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20Jul%202020%2009:33:37%20GMT	https://www.egtdubai.com/hydrolichose1.php	F:/zzzzzgt/EGT/www.egtdubai.com/hydrolichose1.html	(from https://www.egtdubai.com/)
13:35:42	770/770	---M--	200	added ('OK')	image/jpeg	date:Sun,%2011%20Nov%202018%2015:20:32%20GMT	https://www.egtdubai.com/emmaflexbottomlogo.jpg	F:/zzzzzgt/EGT/www.egtdubai.com/emmaflexbottomlogo.jpg	(from https://www.egtdubai.com/)
13:35:42	86058/86058	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20Jul%202020%2009:33:38%20GMT	https://www.egtdubai.com/hydrolichose2.php	F:/zzzzzgt/EGT/www.egtdubai.com/hydrolichose2.html	(from https://www.egtdubai.com/)
13:35:43	83003/83003	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20Jul%202020%2009:33:38%20GMT	https://www.egtdubai.com/hydrolichose3.php	F:/zzzzzgt/EGT/www.egtdubai.com/hydrolichose3.html	(from https://www.egtdubai.com/)
13:35:44	81459/81459	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20Jul%202020%2009:33:38%20GMT	https://www.egtdubai.com/hydrolichose4.php	F:/zzzzzgt/EGT/www.egtdubai.com/hydrolichose4.html	(from https://www.egtdubai.com/)
13:35:44	105581/105581	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20Jul%202020%2009:33:39%20GMT	https://www.egtdubai.com/hammerunion.php	F:/zzzzzgt/EGT/www.egtdubai.com/hammerunion.html	(from https://www.egtdubai.com/)
13:35:45	796/796	---M--	200	added ('OK')	image/jpeg	date:Sun,%2011%20Nov%202018%2015:33:45%20GMT	https://www.egtdubai.com/windlassbottomlogo.jpg	F:/zzzzzgt/EGT/www.egtdubai.com/windlassbottomlogo.jpg	(from https://www.egtdubai.com/)
13:35:46	87586/87586	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20Jul%202020%2009:33:41%20GMT	https://www.egtdubai.com/ringjoint.php	F:/zzzzzgt/EGT/www.egtdubai.com/ringjoint.html	(from https://www.egtdubai.com/)
13:35:46	84564/84564	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20Jul%202020%2009:33:42%20GMT	https://www.egtdubai.com/flanges.php	F:/zzzzzgt/EGT/www.egtdubai.com/flanges.html	(from https://www.egtdubai.com/)
13:35:47	98307/98307	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20Jul%202020%2009:33:42%20GMT	https://www.egtdubai.com/swivel.php	F:/zzzzzgt/EGT/www.egtdubai.com/swivel.html	(from https://www.egtdubai.com/)
13:35:47	76319/76319	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20Jul%202020%2009:33:42%20GMT	https://www.egtdubai.com/pupjoints.php	F:/zzzzzgt/EGT/www.egtdubai.com/pupjoints.html	(from https://www.egtdubai.com/)
13:35:49	91776/91776	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20Jul%202020%2009:33:43%20GMT	https://www.egtdubai.com/heavyduty.php	F:/zzzzzgt/EGT/www.egtdubai.com/heavyduty.html	(from https://www.egtdubai.com/)
13:35:53	671/671	---M--	200	added ('OK')	image/jpeg	date:Sun,%2011%20Nov%202018%2015:30:06%20GMT	https://www.egtdubai.com/qlogo2.jpg	F:/zzzzzgt/EGT/www.egtdubai.com/qlogo2.jpg	(from https://www.egtdubai.com/)
13:35:58	93282/93282	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20Jul%202020%2009:33:51%20GMT	https://www.egtdubai.com/springhose.php	F:/zzzzzgt/EGT/www.egtdubai.com/springhose.html	(from https://www.egtdubai.com/)
13:36:01	108627/108627	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20Jul%202020%2009:33:55%20GMT	https://www.egtdubai.com/pvcreinforced.php	F:/zzzzzgt/EGT/www.egtdubai.com/pvcreinforced.html	(from https://www.egtdubai.com/)
